model,mmd_rbf_projected_multi_mean,mmd_rbf_projected_multi_std,mmd_rbf_projected_multi_min,mmd_rbf_projected_multi_max
factor_ddpm_stress,0.1785774350166321,0.005263529276887821,0.17194336652755737,0.1865462064743042
factor_ddpm_base,0.14256054162979126,0.00443087823757759,0.1362515091896057,0.14871478080749512
historical_bootstrap_train,0.024028146266937257,0.001376768615724653,0.02238065004348755,0.025811076164245605
gaussian_cov_train,0.021844327449798584,0.0011936845489179944,0.019565284252166748,0.02299940586090088
t_copula_train,0.01857069730758667,0.0016216086448244938,0.016374170780181885,0.020875215530395508
filtered_historical_simulation_train,0.016969454288482667,0.0009384066209804154,0.015724480152130127,0.01827704906463623
gaussian_factor_same_calibration_stack,0.01678953170776367,0.0012428104589180843,0.014474093914031982,0.01779758930206299
factor_ddpm_stress_uncalibrated,0.19381749629974365,0.005967132607730575,0.18405354022979736,0.19936347007751465
factor_ddpm_base_uncalibrated,0.154208767414093,0.005292759148373101,0.1449330449104309,0.1588611602783203
