model,distribution_coverage,mmd_rbf_projected,terminal_mean,terminal_median,var5,var1,cvar5,probability_loss,probability_drawdown_10pct,correlation_fidelity,corr_mae,corr_top20_eigen_rmse,mmd_rbf_projected_multi_mean,mmd_rbf_projected_multi_std,mmd_rbf_projected_multi_min,mmd_rbf_projected_multi_max
factor_ddpm_stress,0.9624423198419405,0.18887776136398315,-0.07464343813130442,-0.07261560614842688,-0.27291743935596435,-0.37933289870485454,-0.3551634222958516,0.7692307692307693,0.7307692307692307,0.8528359597554105,0.14716404024458954,8.191597566585306,0.1785774350166321,0.005263529276887821,0.17194336652755737,0.1865462064743042
factor_ddpm_base,0.9133464220365436,0.15064793825149536,-0.053091832383600844,-0.05581249893138801,-0.22454436747045795,-0.23717801330700725,-0.23733402950510388,0.7692307692307693,0.6666666666666666,0.853159432641756,0.14684056735824405,8.094618763387386,0.14256054162979126,0.00443087823757759,0.1362515091896057,0.14871478080749512
historical_bootstrap_train,0.6940382665746456,0.020499706268310547,-0.021476862064767354,-0.01913028783101367,-0.12171218683038106,-0.16550670425383043,-0.1592189539770303,0.6153846153846154,0.38461538461538464,0.9070269767630817,0.09297302323691829,3.871220853806569,0.024028146266937257,0.001376768615724653,0.02238065004348755,0.025811076164245605
gaussian_cov_train,0.702401806136228,0.01925218105316162,-0.02243722259635048,-0.03306086505925587,-0.1368604705570566,-0.1756558475384029,-0.16215330274016032,0.6666666666666666,0.38461538461538464,0.9103036344730029,0.0896963655269971,3.3427456603272105,0.021844327449798584,0.0011936845489179944,0.019565284252166748,0.02299940586090088
t_copula_train,0.8961287524560597,0.021833717823028564,-0.01614379319385202,-0.03551679546997688,-0.16418368194053112,-0.21270514574288416,-0.19826089718955126,0.6153846153846154,0.5384615384615384,0.9085772503843137,0.09142274961568633,3.3529170493660834,0.01857069730758667,0.0016216086448244938,0.016374170780181885,0.020875215530395508
filtered_historical_simulation_train,0.8461854614626954,0.019065558910369873,-0.008812690564060775,-0.016022487247829842,-0.16522061428432752,-0.19427906820875646,-0.18915736137952124,0.5897435897435898,0.4230769230769231,0.9051589411225214,0.09484105887747868,3.9537067346733474,0.016969454288482667,0.0009384066209804154,0.015724480152130127,0.01827704906463623
gaussian_factor_same_calibration_stack,0.7596733701690713,0.018319010734558105,-0.014286065365996027,0.001000681706871176,-0.1709773871554774,-0.22563527872037648,-0.21042820288452044,0.5,0.358974358974359,0.8856040531824297,0.11439594681757026,3.465929141881948,0.01678953170776367,0.0012428104589180843,0.014474093914031982,0.01779758930206299
factor_ddpm_stress_uncalibrated,0.9666243104181818,0.20200085639953613,-0.07673292116984474,-0.07667510125746396,-0.25106342288487404,-0.33746920364749977,-0.3183058350857409,0.7948717948717948,0.6923076923076923,0.7424570962329378,0.25754290376706224,18.49255459056461,0.19381749629974365,0.005967132607730575,0.18405354022979736,0.19936347007751465
factor_ddpm_base_uncalibrated,0.927936631951626,0.16052132844924927,-0.05508361617900441,-0.05833345042027538,-0.20403466237172735,-0.2117336441999481,-0.21012596718820478,0.7692307692307693,0.5641025641025641,0.7430199565127278,0.25698004348727227,18.05071925414656,0.154208767414093,0.005292759148373101,0.1449330449104309,0.1588611602783203
